,m,n,beta,d,b_batch,seed,gap
0,100,25,0.1,1,1,42,1.75
1,100,25,0.1,1,1,67,1.75
2,100,25,0.1,1,1,77,1.75
3,100,25,0.1,1,1,69,1.75
4,100,25,0.1,1,1,13,0.75
5,100,25,0.1,1,1,28430,1.75
6,100,25,0.1,1,1,44015,1.75
7,100,25,0.1,1,1,42699,1.75
8,100,25,0.1,1,1,57975,1.75
9,100,25,0.1,1,1,32146,2.75
10,100,25,0.35,1,1,42,1.75
11,100,25,0.35,1,1,67,1.75
12,100,25,0.35,1,1,77,1.75
13,100,25,0.35,1,1,69,1.75
14,100,25,0.35,1,1,13,0.75
15,100,25,0.35,1,1,28430,1.75
16,100,25,0.35,1,1,44015,1.75
17,100,25,0.35,1,1,42699,1.75
18,100,25,0.35,1,1,57975,1.75
19,100,25,0.35,1,1,32146,2.75
20,100,25,0.6,1,1,42,1.75
21,100,25,0.6,1,1,67,1.75
22,100,25,0.6,1,1,77,1.75
23,100,25,0.6,1,1,69,1.75
24,100,25,0.6,1,1,13,0.75
25,100,25,0.6,1,1,28430,1.75
26,100,25,0.6,1,1,44015,1.75
27,100,25,0.6,1,1,42699,1.75
28,100,25,0.6,1,1,57975,1.75
29,100,25,0.6,1,1,32146,2.75
30,100,25,0.85,1,1,42,1.75
31,100,25,0.85,1,1,67,1.75
32,100,25,0.85,1,1,77,1.75
33,100,25,0.85,1,1,69,1.75
34,100,25,0.85,1,1,13,0.75
35,100,25,0.85,1,1,28430,1.75
36,100,25,0.85,1,1,44015,1.75
37,100,25,0.85,1,1,42699,1.75
38,100,25,0.85,1,1,57975,1.75
39,100,25,0.85,1,1,32146,2.75
40,100,50,0.1,1,1,42,2.5
41,100,50,0.1,1,1,67,2.5
42,100,50,0.1,1,1,77,1.5
43,100,50,0.1,1,1,69,2.5
44,100,50,0.1,1,1,13,2.5
45,100,50,0.1,1,1,28430,1.5
46,100,50,0.1,1,1,44015,3.5
47,100,50,0.1,1,1,42699,2.5
48,100,50,0.1,1,1,57975,2.5
49,100,50,0.1,1,1,32146,3.5
50,100,50,0.35,1,1,42,2.5
51,100,50,0.35,1,1,67,2.5
52,100,50,0.35,1,1,77,1.5
53,100,50,0.35,1,1,69,2.5
54,100,50,0.35,1,1,13,2.5
55,100,50,0.35,1,1,28430,1.5
56,100,50,0.35,1,1,44015,3.5
57,100,50,0.35,1,1,42699,2.5
58,100,50,0.35,1,1,57975,2.5
59,100,50,0.35,1,1,32146,3.5
60,100,50,0.6,1,1,42,2.5
61,100,50,0.6,1,1,67,2.5
62,100,50,0.6,1,1,77,1.5
63,100,50,0.6,1,1,69,2.5
64,100,50,0.6,1,1,13,2.5
65,100,50,0.6,1,1,28430,1.5
66,100,50,0.6,1,1,44015,3.5
67,100,50,0.6,1,1,42699,2.5
68,100,50,0.6,1,1,57975,2.5
69,100,50,0.6,1,1,32146,3.5
70,100,50,0.85,1,1,42,2.5
71,100,50,0.85,1,1,67,2.5
72,100,50,0.85,1,1,77,1.5
73,100,50,0.85,1,1,69,2.5
74,100,50,0.85,1,1,13,2.5
75,100,50,0.85,1,1,28430,1.5
76,100,50,0.85,1,1,44015,3.5
77,100,50,0.85,1,1,42699,2.5
78,100,50,0.85,1,1,57975,2.5
79,100,50,0.85,1,1,32146,3.5
80,100,100,0.1,1,1,42,5.0
81,100,100,0.1,1,1,67,3.0
82,100,100,0.1,1,1,77,3.0
83,100,100,0.1,1,1,69,3.0
84,100,100,0.1,1,1,13,2.0
85,100,100,0.1,1,1,28430,2.0
86,100,100,0.1,1,1,44015,4.0
87,100,100,0.1,1,1,42699,4.0
88,100,100,0.1,1,1,57975,4.0
89,100,100,0.1,1,1,32146,3.0
90,100,100,0.35,1,1,42,5.0
91,100,100,0.35,1,1,67,3.0
92,100,100,0.35,1,1,77,3.0
93,100,100,0.35,1,1,69,3.0
94,100,100,0.35,1,1,13,2.0
95,100,100,0.35,1,1,28430,2.0
96,100,100,0.35,1,1,44015,4.0
97,100,100,0.35,1,1,42699,4.0
98,100,100,0.35,1,1,57975,4.0
99,100,100,0.35,1,1,32146,3.0
100,100,100,0.6,1,1,42,5.0
101,100,100,0.6,1,1,67,3.0
102,100,100,0.6,1,1,77,3.0
103,100,100,0.6,1,1,69,3.0
104,100,100,0.6,1,1,13,2.0
105,100,100,0.6,1,1,28430,2.0
106,100,100,0.6,1,1,44015,4.0
107,100,100,0.6,1,1,42699,4.0
108,100,100,0.6,1,1,57975,4.0
109,100,100,0.6,1,1,32146,3.0
110,100,100,0.85,1,1,42,5.0
111,100,100,0.85,1,1,67,3.0
112,100,100,0.85,1,1,77,3.0
113,100,100,0.85,1,1,69,3.0
114,100,100,0.85,1,1,13,2.0
115,100,100,0.85,1,1,28430,2.0
116,100,100,0.85,1,1,44015,4.0
117,100,100,0.85,1,1,42699,4.0
118,100,100,0.85,1,1,57975,4.0
119,100,100,0.85,1,1,32146,3.0
120,100,150,0.1,1,1,42,4.5
121,100,150,0.1,1,1,67,3.5
122,100,150,0.1,1,1,77,3.5
123,100,150,0.1,1,1,69,3.5
124,100,150,0.1,1,1,13,2.5
125,100,150,0.1,1,1,28430,4.5
126,100,150,0.1,1,1,44015,4.5
127,100,150,0.1,1,1,42699,3.5
128,100,150,0.1,1,1,57975,3.5
129,100,150,0.1,1,1,32146,3.5
130,100,150,0.35,1,1,42,4.5
131,100,150,0.35,1,1,67,3.5
132,100,150,0.35,1,1,77,3.5
133,100,150,0.35,1,1,69,3.5
134,100,150,0.35,1,1,13,2.5
135,100,150,0.35,1,1,28430,4.5
136,100,150,0.35,1,1,44015,4.5
137,100,150,0.35,1,1,42699,3.5
138,100,150,0.35,1,1,57975,3.5
139,100,150,0.35,1,1,32146,3.5
140,100,150,0.6,1,1,42,4.5
141,100,150,0.6,1,1,67,3.5
142,100,150,0.6,1,1,77,3.5
143,100,150,0.6,1,1,69,3.5
144,100,150,0.6,1,1,13,2.5
145,100,150,0.6,1,1,28430,4.5
146,100,150,0.6,1,1,44015,4.5
147,100,150,0.6,1,1,42699,3.5
148,100,150,0.6,1,1,57975,3.5
149,100,150,0.6,1,1,32146,3.5
150,100,150,0.85,1,1,42,4.5
151,100,150,0.85,1,1,67,3.5
152,100,150,0.85,1,1,77,3.5
153,100,150,0.85,1,1,69,3.5
154,100,150,0.85,1,1,13,2.5
155,100,150,0.85,1,1,28430,4.5
156,100,150,0.85,1,1,44015,4.5
157,100,150,0.85,1,1,42699,3.5
158,100,150,0.85,1,1,57975,3.5
159,100,150,0.85,1,1,32146,3.5
160,100,200,0.1,1,1,42,4.0
161,100,200,0.1,1,1,67,4.0
162,100,200,0.1,1,1,77,3.0
163,100,200,0.1,1,1,69,5.0
164,100,200,0.1,1,1,13,3.0
165,100,200,0.1,1,1,28430,5.0
166,100,200,0.1,1,1,44015,4.0
167,100,200,0.1,1,1,42699,3.0
168,100,200,0.1,1,1,57975,4.0
169,100,200,0.1,1,1,32146,4.0
170,100,200,0.35,1,1,42,4.0
171,100,200,0.35,1,1,67,4.0
172,100,200,0.35,1,1,77,3.0
173,100,200,0.35,1,1,69,5.0
174,100,200,0.35,1,1,13,3.0
