m,n,beta,d,b_batch,seed,gap
100,25,0.0,2,1,42,0.75
100,25,0.0,2,1,67,1.75
100,25,0.0,2,1,77,0.75
100,25,0.0,2,1,69,1.75
100,25,0.0,2,1,13,0.75
100,25,0.0,2,1,28430,0.75
100,25,0.0,2,1,44015,0.75
100,25,0.0,2,1,42699,0.75
100,25,0.0,2,1,57975,1.75
100,25,0.0,2,1,32146,0.75
100,25,0.25,2,1,42,0.75
100,25,0.25,2,1,67,1.75
100,25,0.25,2,1,77,0.75
100,25,0.25,2,1,69,1.75
100,25,0.25,2,1,13,0.75
100,25,0.25,2,1,28430,0.75
100,25,0.25,2,1,44015,0.75
100,25,0.25,2,1,42699,0.75
100,25,0.25,2,1,57975,1.75
100,25,0.25,2,1,32146,0.75
100,25,0.5,2,1,42,0.75
100,25,0.5,2,1,67,1.75
100,25,0.5,2,1,77,0.75
100,25,0.5,2,1,69,1.75
100,25,0.5,2,1,13,0.75
100,25,0.5,2,1,28430,0.75
100,25,0.5,2,1,44015,0.75
100,25,0.5,2,1,42699,0.75
100,25,0.5,2,1,57975,1.75
100,25,0.5,2,1,32146,0.75
100,25,0.75,2,1,42,0.75
100,25,0.75,2,1,67,1.75
100,25,0.75,2,1,77,0.75
100,25,0.75,2,1,69,1.75
100,25,0.75,2,1,13,0.75
100,25,0.75,2,1,28430,0.75
100,25,0.75,2,1,44015,0.75
100,25,0.75,2,1,42699,0.75
100,25,0.75,2,1,57975,1.75
100,25,0.75,2,1,32146,0.75
100,25,1.0,2,1,42,0.75
100,25,1.0,2,1,67,1.75
100,25,1.0,2,1,77,0.75
100,25,1.0,2,1,69,1.75
100,25,1.0,2,1,13,0.75
100,25,1.0,2,1,28430,0.75
100,25,1.0,2,1,44015,0.75
100,25,1.0,2,1,42699,0.75
100,25,1.0,2,1,57975,1.75
100,25,1.0,2,1,32146,0.75
100,50,0.0,2,1,42,1.5
100,50,0.0,2,1,67,1.5
100,50,0.0,2,1,77,1.5
100,50,0.0,2,1,69,1.5
100,50,0.0,2,1,13,1.5
100,50,0.0,2,1,28430,1.5
100,50,0.0,2,1,44015,1.5
100,50,0.0,2,1,42699,2.5
100,50,0.0,2,1,57975,1.5
100,50,0.0,2,1,32146,1.5
100,50,0.25,2,1,42,1.5
100,50,0.25,2,1,67,1.5
100,50,0.25,2,1,77,1.5
100,50,0.25,2,1,69,1.5
100,50,0.25,2,1,13,1.5
100,50,0.25,2,1,28430,1.5
100,50,0.25,2,1,44015,1.5
100,50,0.25,2,1,42699,1.5
100,50,0.25,2,1,57975,1.5
100,50,0.25,2,1,32146,1.5
100,50,0.5,2,1,42,1.5
100,50,0.5,2,1,67,1.5
100,50,0.5,2,1,77,1.5
100,50,0.5,2,1,69,1.5
100,50,0.5,2,1,13,1.5
100,50,0.5,2,1,28430,1.5
100,50,0.5,2,1,44015,1.5
100,50,0.5,2,1,42699,1.5
100,50,0.5,2,1,57975,1.5
100,50,0.5,2,1,32146,1.5
100,50,0.75,2,1,42,1.5
100,50,0.75,2,1,67,1.5
100,50,0.75,2,1,77,1.5
100,50,0.75,2,1,69,1.5
100,50,0.75,2,1,13,1.5
100,50,0.75,2,1,28430,1.5
100,50,0.75,2,1,44015,1.5
100,50,0.75,2,1,42699,1.5
100,50,0.75,2,1,57975,1.5
100,50,0.75,2,1,32146,1.5
100,50,1.0,2,1,42,1.5
100,50,1.0,2,1,67,1.5
100,50,1.0,2,1,77,1.5
100,50,1.0,2,1,69,1.5
100,50,1.0,2,1,13,1.5
100,50,1.0,2,1,28430,1.5
100,50,1.0,2,1,44015,1.5
100,50,1.0,2,1,42699,1.5
100,50,1.0,2,1,57975,1.5
100,50,1.0,2,1,32146,1.5
100,100,0.0,2,1,42,2.0
100,100,0.0,2,1,67,2.0
100,100,0.0,2,1,77,2.0
100,100,0.0,2,1,69,2.0
100,100,0.0,2,1,13,2.0
100,100,0.0,2,1,28430,2.0
100,100,0.0,2,1,44015,2.0
100,100,0.0,2,1,42699,2.0
100,100,0.0,2,1,57975,2.0
100,100,0.0,2,1,32146,2.0
100,100,0.25,2,1,42,2.0
100,100,0.25,2,1,67,2.0
100,100,0.25,2,1,77,2.0
100,100,0.25,2,1,69,2.0
100,100,0.25,2,1,13,1.0
100,100,0.25,2,1,28430,1.0
100,100,0.25,2,1,44015,1.0
100,100,0.25,2,1,42699,2.0
100,100,0.25,2,1,57975,2.0
100,100,0.25,2,1,32146,1.0
100,100,0.5,2,1,42,2.0
100,100,0.5,2,1,67,2.0
100,100,0.5,2,1,77,2.0
100,100,0.5,2,1,69,1.0
100,100,0.5,2,1,13,2.0
100,100,0.5,2,1,28430,1.0
100,100,0.5,2,1,44015,1.0
100,100,0.5,2,1,42699,2.0
100,100,0.5,2,1,57975,1.0
100,100,0.5,2,1,32146,1.0
100,100,0.75,2,1,42,2.0
100,100,0.75,2,1,67,2.0
100,100,0.75,2,1,77,1.0
100,100,0.75,2,1,69,1.0
100,100,0.75,2,1,13,2.0
100,100,0.75,2,1,28430,2.0
100,100,0.75,2,1,44015,2.0
100,100,0.75,2,1,42699,2.0
100,100,0.75,2,1,57975,1.0
100,100,0.75,2,1,32146,1.0
100,100,1.0,2,1,42,2.0
100,100,1.0,2,1,67,2.0
100,100,1.0,2,1,77,1.0
100,100,1.0,2,1,69,1.0
100,100,1.0,2,1,13,1.0
100,100,1.0,2,1,28430,1.0
100,100,1.0,2,1,44015,2.0
100,100,1.0,2,1,42699,2.0
100,100,1.0,2,1,57975,1.0
100,100,1.0,2,1,32146,2.0
100,150,0.0,2,1,42,1.5
100,150,0.0,2,1,67,2.5
100,150,0.0,2,1,77,1.5
100,150,0.0,2,1,69,2.5
100,150,0.0,2,1,13,2.5
100,150,0.0,2,1,28430,2.5
100,150,0.0,2,1,44015,2.5
100,150,0.0,2,1,42699,2.5
100,150,0.0,2,1,57975,2.5
100,150,0.0,2,1,32146,2.5
100,150,0.25,2,1,42,2.5
100,150,0.25,2,1,67,2.5
100,150,0.25,2,1,77,1.5
100,150,0.25,2,1,69,1.5
100,150,0.25,2,1,13,2.5
100,150,0.25,2,1,28430,2.5
100,150,0.25,2,1,44015,1.5
100,150,0.25,2,1,42699,2.5
100,150,0.25,2,1,57975,2.5
100,150,0.25,2,1,32146,1.5
100,150,0.5,2,1,42,1.5
100,150,0.5,2,1,67,1.5
100,150,0.5,2,1,77,2.5
100,150,0.5,2,1,69,1.5
100,150,0.5,2,1,13,2.5
100,150,0.5,2,1,28430,1.5
